"id_clim","id_st","lon","lat","altitude_1km","plt_id_cfvvf","abd"
773936,100010,"7.326000","43.704000","42.468974",3,1
773936,100041,"7.326000","43.704000","42.468974",3,1
777927,100062,"7.479000","43.749000","-0.033015",3,1
691064,28283,"5.922000","43.146000","218.631394",3,2
773934,100349,"7.326000","43.686000","97.279887",3,1
773934,100349,"7.326000","43.686000","97.279887",3,1
775598,169712,"7.389000","43.749000","450.039160",3,1
753082,46463,"6.777000","43.416000","2.863201",3,4
777697,100074,"7.470000","43.758000","72.662040",3,1
693194,28277,"5.949000","43.110000","29.580807",3,1
707816,28281,"6.138000","43.047000","-1.987962",3,1
775361,169713,"7.380000","43.749000","350.119662",3,1
773934,170182,"7.326000","43.686000","97.279887",3,1
691771,134209,"5.931000","43.074000","47.392543",3,1
715143,157848,"6.237000","43.128000","5.904230",3,1
777927,100119,"7.479000","43.749000","-0.033015",3,1
693197,28274,"5.949000","43.137000","246.652297",3,1
777927,100073,"7.479000","43.749000","-0.033015",3,1
773220,134202,"7.299000","43.695000","182.139055",3,1
694614,28282,"5.967000","43.110000","69.693417",3,3
693197,28274,"5.949000","43.137000","246.652297",3,1
691771,134209,"5.931000","43.074000","47.392543",3,1
777697,169716,"7.470000","43.758000","72.662040",3,1
777927,100073,"7.479000","43.749000","-0.033015",3,1
773936,100041,"7.326000","43.704000","42.468974",3,1
773936,100010,"7.326000","43.704000","42.468974",3,1
775361,169713,"7.380000","43.749000","350.119662",3,1
775598,169712,"7.389000","43.749000","450.039160",3,1
651366,202470,"5.418000","43.344000","135.727172",3,4
651366,202464,"5.418000","43.344000","135.727172",3,1
753082,46463,"6.777000","43.416000","2.863201",3,4
777697,100120,"7.470000","43.758000","72.662040",3,1
773934,170182,"7.326000","43.686000","97.279887",3,1
691064,28283,"5.922000","43.146000","218.631394",3,2
651366,202471,"5.418000","43.344000","135.727172",3,2
694617,197788,"5.967000","43.137000","136.668443",3,1
651366,202478,"5.418000","43.344000","135.727172",3,1
651366,202471,"5.418000","43.344000","135.727172",3,2
694617,197788,"5.967000","43.137000","136.668443",3,1
651366,202478,"5.418000","43.344000","135.727172",3,1
707816,28281,"6.138000","43.047000","-1.987962",3,1
693194,28277,"5.949000","43.110000","29.580807",3,1
651366,202470,"5.418000","43.344000","135.727172",3,4
651366,202464,"5.418000","43.344000","135.727172",3,1
777927,169721,"7.479000","43.749000","-0.033015",3,1
694614,28282,"5.967000","43.110000","69.693417",3,3
755196,134204,"6.813000","43.416000","8.945258",3,1
773935,100430,"7.326000","43.695000","13.434395",3,1
692485,28366,"5.940000","43.137000","130.586387",3,1
773935,100430,"7.326000","43.695000","13.434395",3,1
651366,202477,"5.418000","43.344000","135.727172",3,4
651366,202477,"5.418000","43.344000","135.727172",3,4
777927,100119,"7.479000","43.749000","-0.033015",3,1
777697,100120,"7.470000","43.758000","72.662040",3,1
692485,28366,"5.940000","43.137000","130.586387",3,1
773220,134202,"7.299000","43.695000","182.139055",3,1
777697,100074,"7.470000","43.758000","72.662040",3,1
777927,169721,"7.479000","43.749000","-0.033015",3,1
755196,134204,"6.813000","43.416000","8.945258",3,1
777927,100128,"7.479000","43.749000","-0.033015",3,1
777927,100062,"7.479000","43.749000","-0.033015",3,1
777927,100128,"7.479000","43.749000","-0.033015",3,1
715143,157848,"6.237000","43.128000","5.904230",3,1
777697,169716,"7.470000","43.758000","72.662040",3,1
774176,103513,"7.335000","43.722000","445.694834",2847,1
773938,103515,"7.326000","43.722000","538.518600",2847,3
773696,103522,"7.317000","43.713000","318.333676",2847,2
774652,103526,"7.353000","43.731000","484.866174",2847,1
773697,103535,"7.317000","43.722000","454.455891",2847,2
773698,103536,"7.317000","43.731000","311.020727",2847,2
774180,103538,"7.335000","43.758000","297.336100",2847,2
774180,103538,"7.335000","43.758000","297.336100",2847,1
772510,103552,"7.272000","43.758000","299.870291",2847,3
772269,103567,"7.263000","43.749000","331.366654",2847,1
772028,103569,"7.254000","43.749000","393.200895",2847,1
772028,103570,"7.254000","43.749000","393.200895",2847,2
771787,103579,"7.245000","43.767000","533.305409",2847,2
773463,103588,"7.308000","43.749000","228.116506",2847,1
773463,103588,"7.308000","43.749000","228.116506",2847,2
774655,103589,"7.353000","43.758000","429.258801",2847,1
771790,103594,"7.245000","43.794000","649.009292",2847,2
773230,103598,"7.299000","43.785000","561.688339",2847,2
774890,103601,"7.362000","43.749000","273.152685",2847,1
771070,103603,"7.218000","43.848000","541.776845",2847,2
771067,104166,"7.218000","43.821000","180.546136",2847,1
771067,104171,"7.218000","43.821000","180.546136",2847,1
771067,104171,"7.218000","43.821000","180.546136",2847,1
771309,104180,"7.227000","43.803000","265.477710",2847,4
771309,104180,"7.227000","43.803000","265.477710",2847,2
771066,104184,"7.218000","43.812000","268.735954",2847,3
771066,104184,"7.218000","43.812000","268.735954",2847,2
767720,104188,"7.101000","43.659000","37.762621",2847,1
774893,104195,"7.362000","43.776000","386.177568",2847,1
773938,104198,"7.326000","43.722000","538.518600",2847,3
772271,104205,"7.263000","43.767000","515.638483",2847,1
773703,104208,"7.317000","43.776000","517.521024",2847,1
774177,104220,"7.335000","43.731000","479.363361",2847,2
774177,104228,"7.335000","43.731000","479.363361",2847,2
774414,104234,"7.344000","43.731000","483.418065",2847,1
771545,104242,"7.236000","43.758000","335.276548",2847,1
771064,104256,"7.218000","43.794000","185.397300",2847,1
774413,104264,"7.344000","43.722000","250.924217",2847,3
773460,104269,"7.308000","43.722000","290.819611",2847,2
775132,104293,"7.371000","43.812000","564.005313",2847,2
774185,104300,"7.335000","43.803000","273.587118",2847,1
774421,104302,"7.344000","43.794000","303.200940",2847,1
772752,104303,"7.281000","43.776000","326.008652",2847,1
771307,104311,"7.227000","43.785000","236.660347",2847,2
778829,104314,"7.515000","43.794000","252.372326",2847,1
774421,104347,"7.344000","43.794000","303.200940",2847,1
775365,104380,"7.380000","43.785000","406.016656",2847,1
774190,104411,"7.335000","43.848000","428.027908",2847,1
775612,104425,"7.389000","43.875000","1074.608431",2847,1
775614,104426,"7.389000","43.893000","1136.877104",2847,1
775850,104443,"7.398000","43.866000","944.640678",2847,1
774907,104457,"7.362000","43.902000","1017.842571",2847,1
771791,104471,"7.245000","43.803000","767.247365",2847,2
772756,104474,"7.281000","43.812000","821.189413",2847,1
776075,104476,"7.407000","43.740000","284.809960",2847,1
776558,104482,"7.425000","43.839000","1068.743591",2847,1
776317,104499,"7.416000","43.794000","1011.181271",2847,1
772757,104985,"7.281000","43.821000","870.859541",2847,1
775848,105002,"7.398000","43.848000","973.240824",2847,1
776315,105003,"7.416000","43.776000","886.643925",2847,3
771796,105013,"7.245000","43.848000","618.816226",2847,1
778400,105020,"7.497000","43.902000","683.691495",2847,1
778621,105022,"7.506000","43.893000","520.489647",2847,2
771557,105031,"7.236000","43.866000","693.249012",2847,1
772030,105048,"7.254000","43.767000","580.948184",2847,1
772031,105053,"7.254000","43.776000","744.512059",2847,1
771787,105055,"7.245000","43.767000","533.305409",2847,1
773711,105099,"7.317000","43.848000","736.040623",2847,1
767720,105106,"7.101000","43.659000","37.762621",2847,4
767720,105106,"7.101000","43.659000","37.762621",2847,4
770576,105109,"7.200000","43.821000","303.852589",2847,2
773951,105151,"7.326000","43.839000","531.278057",2847,1
768002,105155,"7.110000","43.650000","111.471352",2847,2
768552,105170,"7.128000","43.641000","23.209128",2847,1
768001,105176,"7.110000","43.641000","160.417425",2847,1
767718,105181,"7.101000","43.641000","142.388472",2847,1
767718,105183,"7.101000","43.641000","142.388472",2847,2
768280,105187,"7.119000","43.641000","102.710295",2847,1
509210,105405,"3.672000","43.686000","248.969271",2847,1
509210,105405,"3.672000","43.686000","248.969271",2847,2
509208,105406,"3.672000","43.668000","281.262094",2847,2
509208,105406,"3.672000","43.668000","281.262094",2847,2
509983,105410,"3.681000","43.668000","230.867912",2847,2
509983,105410,"3.681000","43.668000","230.867912",2847,2
508423,105414,"3.663000","43.650000","221.817233",2847,3
508423,105414,"3.663000","43.650000","221.817233",2847,3
509210,105419,"3.672000","43.686000","248.969271",2847,5
509210,105421,"3.672000","43.686000","248.969271",2847,4
509210,105421,"3.672000","43.686000","248.969271",2847,3
509208,105423,"3.672000","43.668000","281.262094",2847,5
509208,105423,"3.672000","43.668000","281.262094",2847,3
508423,105429,"3.663000","43.650000","221.817233",2847,5
508423,105429,"3.663000","43.650000","221.817233",2847,3
696727,109904,"5.994000","43.155000","208.060201",2847,5
