plt_id_cfvvf,latin_name,bornes_abd,min_abd,max_abd,id_pasa
266,PULMONARIA OFFICINALIS L. SUBSP. MACULOSA HAYNE                                                                                                                                                                                                           ,[1-4],1,4,210
267,PULMONARIA OFFICINALIS L. SUBSP. OBSCURA DUMORT.                                                                                                                                                                                                          ,[1-5],1,5,211
267,PULMONARIA OFFICINALIS L. SUBSP. OBSCURA DUMORT.                                                                                                                                                                                                          ,[2-5],2,5,212
267,PULMONARIA OFFICINALIS L. SUBSP. OBSCURA DUMORT.                                                                                                                                                                                                          ,[3-5],3,5,213
268,PULMONARIA OFFICINALIS L. SUBSP. OFFICINALIS                                                                                                                                                                                                              ,[1-3],1,3,214
269,PULMONARIA PICTA RY                                                                                                                                                                                                                                       ,[1-2],1,2,215
271,SYMPHYTUM OFFICINALE L.                                                                                                                                                                                                                                   ,[1-5],1,5,216
271,SYMPHYTUM OFFICINALE L.                                                                                                                                                                                                                                   ,[2-5],2,5,217
271,SYMPHYTUM OFFICINALE L.                                                                                                                                                                                                                                   ,[3-5],3,5,218
272,SYMPHYTUM ORIENTALE L.                                                                                                                                                                                                                                    ,[1-4],1,4,219
273,SYMPHYTUM TUBEROSUM L.                                                                                                                                                                                                                                    ,[1-5],1,5,220
273,SYMPHYTUM TUBEROSUM L.                                                                                                                                                                                                                                    ,[2-5],2,5,221
274,SYMPHYTUM TUBEROSUM L. SUBSP. BULBOSUM SCHIMPER                                                                                                                                                                                                           ,[1-5],1,5,222
276,SYMPHYTUM TUBEROSUM L. SUBSP. TUBEROSUM                                                                                                                                                                                                                   ,[1-5],1,5,223
283,BUDDLEA VARIABILIS HEMSLEY                                                                                                                                                                                                                                ,[1-5],1,5,224
283,BUDDLEA VARIABILIS HEMSLEY                                                                                                                                                                                                                                ,[2-5],2,5,225
285,BUXUS SEMPERVIRENS L.                                                                                                                                                                                                                                     ,[1-6],1,6,226
285,BUXUS SEMPERVIRENS L.                                                                                                                                                                                                                                     ,[4-6],4,6,227
285,BUXUS SEMPERVIRENS L.                                                                                                                                                                                                                                     ,[5-6],5,6,228
288,OPUNTIA FICUS-INDICA (L.) MILL.                                                                                                                                                                                                                           ,[1-4],1,4,229
296,CERATONIA SILIQUA L.                                                                                                                                                                                                                                      ,[1-5],1,5,230
296,CERATONIA SILIQUA L.                                                                                                                                                                                                                                      ,[2-5],2,5,231
297,CERCIS SILIQUASTRUM L.                                                                                                                                                                                                                                    ,[1-3],1,3,232
301,CALLITRICHE HAMULATA KUTZING                                                                                                                                                                                                                              ,[1-6],1,6,233
301,CALLITRICHE HAMULATA KUTZING                                                                                                                                                                                                                              ,[3-6],3,6,234
301,CALLITRICHE HAMULATA KUTZING                                                                                                                                                                                                                              ,[4-6],4,6,235
302,CALLITRICHE OBTUSANGULA LE GALL                                                                                                                                                                                                                           ,[1-6],1,6,236
302,CALLITRICHE OBTUSANGULA LE GALL                                                                                                                                                                                                                           ,[3-6],3,6,237
302,CALLITRICHE OBTUSANGULA LE GALL                                                                                                                                                                                                                           ,[4-6],4,6,238
303,CALLITRICHE PEDUNCULATA DC.                                                                                                                                                                                                                               ,[1-6],1,6,239
305,CALLITRICHE STAGNALIS SCOP.                                                                                                                                                                                                                               ,[1-6],1,6,240
305,CALLITRICHE STAGNALIS SCOP.                                                                                                                                                                                                                               ,[3-6],3,6,241
305,CALLITRICHE STAGNALIS SCOP.                                                                                                                                                                                                                               ,[4-6],4,6,242
306,CALLITRICHE TRUNCATA GUSS.                                                                                                                                                                                                                                ,[1-6],1,6,243
307,CALLITRICHE TRUNCATA GUSS. RACE OCCIDENTALIS RY                                                                                                                                                                                                           ,[1-6],1,6,244
309,CALLITRICHE VERNA L.                                                                                                                                                                                                                                      ,[1-6],1,6,245
312,CAMPANULA ALPESTRIS ALL.                                                                                                                                                                                                                                  ,[1-3],1,3,246
313,CAMPANULA BARBATA L.                                                                                                                                                                                                                                      ,[1-4],1,4,247
317,CAMPANULA BONONIENSIS (BAUHIN) L.                                                                                                                                                                                                                         ,[1-2],1,2,248
318,CAMPANULA CENISIA L.                                                                                                                                                                                                                                      ,[1-4],1,4,249
320,CAMPANULA COCHLEARIIFOLIA LAM.                                                                                                                                                                                                                            ,[1-4],1,4,250
320,CAMPANULA COCHLEARIIFOLIA LAM.                                                                                                                                                                                                                            ,[2-4],2,4,251
322,CAMPANULA COCHLEARIIFOLIA LAM. VAR. FICARIOIDES TIMBAL.                                                                                                                                                                                                   ,[1-6],1,6,252
322,CAMPANULA COCHLEARIIFOLIA LAM. VAR. FICARIOIDES TIMBAL.                                                                                                                                                                                                   ,[2-6],2,6,253
322,CAMPANULA COCHLEARIIFOLIA LAM. VAR. FICARIOIDES TIMBAL.                                                                                                                                                                                                   ,[3-6],3,6,254
327,CAMPANULA ERINUS L.                                                                                                                                                                                                                                       ,[1-3],1,3,255
328,CAMPANULA EXCISA SCHLEICHER                                                                                                                                                                                                                               ,[1-5],1,5,256
329,CAMPANULA GLOMERATA L.                                                                                                                                                                                                                                    ,[1-5],1,5,257
329,CAMPANULA GLOMERATA L.                                                                                                                                                                                                                                    ,[2-5],2,5,258
330,CAMPANULA GLOMERATA L. SUBSP. AGGREGATA WILLD.                                                                                                                                                                                                            ,[1-6],1,6,259
333,CAMPANULA GLOMERATA L. SUBSP. CERVICARIOIDES R. & SCH.                                                                                                                                                                                                    ,[1-1],1,1,260
334,CAMPANULA GLOMERATA L. SUBSP. GLOMERATA                                                                                                                                                                                                                   ,[1-3],1,3,261
335,CAMPANULA HISPANICA WILLK.                                                                                                                                                                                                                                ,[1-3],1,3,262
336,CAMPANULA LANCEOLATA LAPEYR.                                                                                                                                                                                                                              ,[1-4],1,4,263
337,CAMPANULA LATIFOLIA L.                                                                                                                                                                                                                                    ,[1-4],1,4,264
337,CAMPANULA LATIFOLIA L.                                                                                                                                                                                                                                    ,[2-4],2,4,265
338,CAMPANULA LINIFOLIA SCOP., NON AUCT.                                                                                                                                                                                                                      ,[1-4],1,4,266
338,CAMPANULA LINIFOLIA SCOP., NON AUCT.                                                                                                                                                                                                                      ,[2-4],2,4,267
339,CAMPANULA MEDIUM L.                                                                                                                                                                                                                                       ,[1-3],1,3,268
340,CAMPANULA PATULA L.                                                                                                                                                                                                                                       ,[1-5],1,5,269
340,CAMPANULA PATULA L.                                                                                                                                                                                                                                       ,[2-5],2,5,270
341,CAMPANULA PERSICAEFOLIA L.                                                                                                                                                                                                                                ,[1-3],1,3,271
342,CAMPANULA PETRAEA L.                                                                                                                                                                                                                                      ,[1-1],1,1,272
344,CAMPANULA RAPUNCULOIDES L.                                                                                                                                                                                                                                ,[1-4],1,4,273
345,CAMPANULA RAPUNCULUS L.                                                                                                                                                                                                                                   ,[1-5],1,5,274
345,CAMPANULA RAPUNCULUS L.                                                                                                                                                                                                                                   ,[2-5],2,5,275
346,CAMPANULA RHOMBOIDALIS L.                                                                                                                                                                                                                                 ,[1-4],1,4,276
346,CAMPANULA RHOMBOIDALIS L.                                                                                                                                                                                                                                 ,[2-4],2,4,277
347,CAMPANULA ROTUNDIFOLIA L.                                                                                                                                                                                                                                 ,[1-6],1,6,278
347,CAMPANULA ROTUNDIFOLIA L.                                                                                                                                                                                                                                 ,[2-6],2,6,279
348,CAMPANULA ROTUNDIFOLIA L. SUBSP. ROTUNDIFOLIA                                                                                                                                                                                                             ,[1-3],1,3,280
350,CAMPANULA ROTUNDIFOLIA L. VAR. MACRORRHIZA GAY                                                                                                                                                                                                            ,[1-3],1,3,281
352,CAMPANULA ROTUNDIFOLIA L. VAR. RUSCINONENSIS TIMB.                                                                                                                                                                                                        ,[1-3],1,3,282
353,CAMPANULA SCHEUCHZERI VILL.                                                                                                                                                                                                                               ,[1-4],1,4,283
353,CAMPANULA SCHEUCHZERI VILL.                                                                                                                                                                                                                               ,[2-4],2,4,284
354,CAMPANULA SCHLEICHERI HEGETSCHW.                                                                                                                                                                                                                          ,[1-4],1,4,285
355,CAMPANULA SPECIOSA POURR.                                                                                                                                                                                                                                 ,[1-3],1,3,286
359,CAMPANULA SPICATA L.                                                                                                                                                                                                                                      ,[1-3],1,3,287
362,CAMPANULA THYRSOIDEA L.                                                                                                                                                                                                                                   ,[1-2],1,2,288
363,CAMPANULA TRACHELIUM L.                                                                                                                                                                                                                                   ,[1-4],1,4,289
363,CAMPANULA TRACHELIUM L.                                                                                                                                                                                                                                   ,[2-4],2,4,290
364,JASIONE HUMILIS LOISELEUR                                                                                                                                                                                                                                 ,[1-5],1,5,291
364,JASIONE HUMILIS LOISELEUR                                                                                                                                                                                                                                 ,[2-5],2,5,292
365,JASIONE MONTANA L.                                                                                                                                                                                                                                        ,[1-6],1,6,293
365,JASIONE MONTANA L.                                                                                                                                                                                                                                        ,[2-6],2,6,294
366,JASIONE MONTANA L. VAR. MARITIMA DUFOUR                                                                                                                                                                                                                   ,[1-4],1,4,295
366,JASIONE MONTANA L. VAR. MARITIMA DUFOUR                                                                                                                                                                                                                   ,[2-4],2,4,296
367,JASIONE MONTANA L. VAR. MONTANA                                                                                                                                                                                                                           ,[1-3],1,3,297
367,JASIONE MONTANA L. VAR. MONTANA                                                                                                                                                                                                                           ,[2-3],2,3,298
368,JASIONE PERENNIS L.                                                                                                                                                                                                                                       ,[1-5],1,5,299
368,JASIONE PERENNIS L.                                                                                                                                                                                                                                       ,[2-5],2,5,300
369,LAURENTIA MICHELII DC.                                                                                                                                                                                                                                    ,[1-5],1,5,301
370,LAURENTIA TENELLA (BIVONA) DC.                                                                                                                                                                                                                            ,[1-4],1,4,302
372,LOBELIA DORTMANNA L.                                                                                                                                                                                                                                      ,[1-5],1,5,303
372,LOBELIA DORTMANNA L.                                                                                                                                                                                                                                      ,[3-5],3,5,304
375,LOBELIA URENS L.                                                                                                                                                                                                                                          ,[1-4],1,4,305
375,LOBELIA URENS L.                                                                                                                                                                                                                                          ,[2-4],2,4,306
377,PHYTEUMA CHARMEILI VILL.                                                                                                                                                                                                                                  ,[1-3],1,3,307
378,PHYTEUMA GALLICUM SCHULZ                                                                                                                                                                                                                                  ,[1-2],1,2,308
379,PHYTEUMA HALLERI ALL.                                                                                                                                                                                                                                     ,[1-3],1,3,309
379,PHYTEUMA HALLERI ALL.                                                                                                                                                                                                                                     ,[2-3],2,3,310
380,PHYTEUMA HEMISPHAERICUM L.                                                                                                                                                                                                                                ,[1-4],1,4,311
380,PHYTEUMA HEMISPHAERICUM L.                                                                                                                                                                                                                                ,[2-4],2,4,312
382,PHYTEUMA MICHELII (ALL.) RCHB.                                                                                                                                                                                                                            ,[1-4],1,4,313
383,PHYTEUMA MICHELII (ALL.) RCHB. SUBSP. BETONICAEFOLIUM VILLARS                                                                                                                                                                                             ,[1-3],1,3,314
383,PHYTEUMA MICHELII (ALL.) RCHB. SUBSP. BETONICAEFOLIUM VILLARS                                                                                                                                                                                             ,[2-3],2,3,315
386,PHYTEUMA MICHELII (ALL.) RCHB. SUBSP. SCORZONERAEFOLIUM VILLARS                                                                                                                                                                                           ,[1-3],1,3,316
387,PHYTEUMA NIGRUM SCHMIDT.                                                                                                                                                                                                                                  ,[1-4],1,4,317
387,PHYTEUMA NIGRUM SCHMIDT.                                                                                                                                                                                                                                  ,[2-4],2,4,318
388,PHYTEUMA NIGRUM SCHMIDT. VAR. COERULEUM BOREAU                                                                                                                                                                                                            ,[1-2],1,2,319
391,PHYTEUMA ORBICULARE L.                                                                                                                                                                                                                                    ,[1-5],1,5,320
391,PHYTEUMA ORBICULARE L.                                                                                                                                                                                                                                    ,[2-5],2,5,321
392,PHYTEUMA ORBICULARE L. SUBSP. ANGLICUM SCHULTZ                                                                                                                                                                                                            ,[1-3],1,3,322
393,PHYTEUMA ORBICULARE L. SUBSP. IBERICUM SCHULTZ                                                                                                                                                                                                            ,[1-2],1,2,323
394,PHYTEUMA ORBICULARE L. SUBSP. ORBICULARE                                                                                                                                                                                                                  ,[1-3],1,3,324
395,PHYTEUMA ORBICULARE L. SUBSP. TENERUM SCHULTZ                                                                                                                                                                                                             ,[1-4],1,4,325
395,PHYTEUMA ORBICULARE L. SUBSP. TENERUM SCHULTZ                                                                                                                                                                                                             ,[2-4],2,4,326
396,PHYTEUMA PAUCIFLORUM L.                                                                                                                                                                                                                                   ,[1-3],1,3,327
398,PHYTEUMA PAUCIFLORUM L. SUBSP. PEDEMONTANUM SCHULZ                                                                                                                                                                                                        ,[1-3],1,3,328
398,PHYTEUMA PAUCIFLORUM L. SUBSP. PEDEMONTANUM SCHULZ                                                                                                                                                                                                        ,[2-3],2,3,329
399,PHYTEUMA PYRENAICUM SCHULZ                                                                                                                                                                                                                                ,[1-3],1,3,330
403,PHYTEUMA SCHEUCHZERI ALL.                                                                                                                                                                                                                                 ,[1-2],1,2,331
404,PHYTEUMA SERRATUM VIVIANI                                                                                                                                                                                                                                 ,[1-3],1,3,332
405,PHYTEUMA SPICATUM L.                                                                                                                                                                                                                                      ,[1-4],1,4,333
405,PHYTEUMA SPICATUM L.                                                                                                                                                                                                                                      ,[2-4],2,4,334
406,PHYTEUMA SPICATUM L. VAR. COERULEUM SCHULZ                                                                                                                                                                                                                ,[1-2],1,2,335
408,PHYTEUMA SPICATUM L. VAR. OCCIDENTALE SCHULZ                                                                                                                                                                                                              ,[1-3],1,3,336
409,PHYTEUMA SPICATUM L. VAR. OCHROLEUCA SCHULZ                                                                                                                                                                                                               ,[1-4],1,4,337
410,PHYTEUMA SPICATUM L. VAR. SPICATUM                                                                                                                                                                                                                        ,[1-3],1,3,338
415,SPECULARIA HYBRIDA (L.) A. DC.                                                                                                                                                                                                                            ,[1-3],1,3,339
417,SPECULARIA SPECULUM (L.) A. DC.                                                                                                                                                                                                                           ,[1-4],1,4,340
417,SPECULARIA SPECULUM (L.) A. DC.                                                                                                                                                                                                                           ,[2-4],2,4,341
419,WAHLENBERGIA HEDERACEA (L.) RCHB.                                                                                                                                                                                                                         ,[1-5],1,5,342
419,WAHLENBERGIA HEDERACEA (L.) RCHB.                                                                                                                                                                                                                         ,[2-5],2,5,343
419,WAHLENBERGIA HEDERACEA (L.) RCHB.                                                                                                                                                                                                                         ,[3-5],3,5,344
423,HUMULUS LUPULUS L.                                                                                                                                                                                                                                        ,[1-5],1,5,345
423,HUMULUS LUPULUS L.                                                                                                                                                                                                                                        ,[2-5],2,5,346
423,HUMULUS LUPULUS L.                                                                                                                                                                                                                                        ,[3-5],3,5,347
431,LONICERA ALPIGENA L.                                                                                                                                                                                                                                      ,[1-4],1,4,348
431,LONICERA ALPIGENA L.                                                                                                                                                                                                                                      ,[2-4],2,4,349
434,LONICERA CAERULEA L.                                                                                                                                                                                                                                      ,[1-4],1,4,350
435,LONICERA CAPRIFOLIUM L.                                                                                                                                                                                                                                   ,[1-4],1,4,351
436,LONICERA ETRUSCA SANTI                                                                                                                                                                                                                                    ,[1-5],1,5,352
436,LONICERA ETRUSCA SANTI                                                                                                                                                                                                                                    ,[2-5],2,5,353
437,LONICERA IMPLEXA AITON                                                                                                                                                                                                                                    ,[1-4],1,4,354
437,LONICERA IMPLEXA AITON                                                                                                                                                                                                                                    ,[2-4],2,4,355
438,LONICERA JAPONICA THUNBERG                                                                                                                                                                                                                                ,[1-5],1,5,356
439,LONICERA NIGRA L.                                                                                                                                                                                                                                         ,[1-5],1,5,357
439,LONICERA NIGRA L.                                                                                                                                                                                                                                         ,[2-5],2,5,358
439,LONICERA NIGRA L.                                                                                                                                                                                                                                         ,[3-5],3,5,359
440,LONICERA PERICLYMENUM L.                                                                                                                                                                                                                                  ,[1-6],1,6,360
440,LONICERA PERICLYMENUM L.                                                                                                                                                                                                                                  ,[2-6],2,6,361
440,LONICERA PERICLYMENUM L.                                                                                                                                                                                                                                  ,[3-6],3,6,362
441,LONICERA PERICLYMENUM L. VAR. PERICLYMENUM                                                                                                                                                                                                                ,[1-6],1,6,363
441,LONICERA PERICLYMENUM L. VAR. PERICLYMENUM                                                                                                                                                                                                                ,[2-6],2,6,364
441,LONICERA PERICLYMENUM L. VAR. PERICLYMENUM                                                                                                                                                                                                                ,[3-6],3,6,365
443,LONICERA PYRENAICA L.                                                                                                                                                                                                                                     ,[1-3],1,3,366
445,LONICERA XYLOSTEUM L.                                                                                                                                                                                                                                     ,[1-6],1,6,367
445,LONICERA XYLOSTEUM L.                                                                                                                                                                                                                                     ,[2-6],2,6,368
445,LONICERA XYLOSTEUM L.                                                                                                                                                                                                                                     ,[3-6],3,6,369
449,VIBURNUM LANTANA L.                                                                                                                                                                                                                                       ,[1-5],1,5,370
449,VIBURNUM LANTANA L.                                                                                                                                                                                                                                       ,[2-5],2,5,371
452,VIBURNUM OPULUS L.                                                                                                                                                                                                                                        ,[1-6],1,6,372
452,VIBURNUM OPULUS L.                                                                                                                                                                                                                                        ,[2-6],2,6,373
455,VIBURNUM TINUS L.                                                                                                                                                                                                                                         ,[1-6],1,6,374
455,VIBURNUM TINUS L.                                                                                                                                                                                                                                         ,[2-6],2,6,375
455,VIBURNUM TINUS L.                                                                                                                                                                                                                                         ,[3-6],3,6,376
457,CARPINUS BETULUS L.                                                                                                                                                                                                                                       ,[1-6],1,6,377
