plt_id_cfvvf,latin_name,bornes_abd,min_abd,max_abd,id_pasa
85,ARISTOLOCHIA ALTISSIMA DESF.                                                                                                                                                                                                                              ,[1-6],1,6,65
85,ARISTOLOCHIA ALTISSIMA DESF.                                                                                                                                                                                                                              ,[5-6],5,6,66
86,ARISTOLOCHIA CLEMATITIS L.                                                                                                                                                                                                                                ,[1-4],1,4,67
86,ARISTOLOCHIA CLEMATITIS L.                                                                                                                                                                                                                                ,[2-4],2,4,68
87,ARISTOLOCHIA LONGA L.                                                                                                                                                                                                                                     ,[1-2],1,2,69
88,ARISTOLOCHIA PALLIDA WILLD.                                                                                                                                                                                                                               ,[1-4],1,4,70
89,ARISTOLOCHIA PISTOLOCHIA L.                                                                                                                                                                                                                               ,[1-3],1,3,71
90,ARISTOLOCHIA ROTUNDA L.                                                                                                                                                                                                                                   ,[1-6],1,6,72
90,ARISTOLOCHIA ROTUNDA L.                                                                                                                                                                                                                                   ,[2-6],2,6,73
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[1-6],1,6,74
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[2-6],2,6,75
92,ASARUM EUROPAEUM L.                                                                                                                                                                                                                                       ,[3-6],3,6,76
94,ASCLEPIAS CORNUTI DECAISNE                                                                                                                                                                                                                                ,[1-3],1,3,77
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[1-6],1,6,78
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[2-6],2,6,79
95,CYNANCHUM ACUTUM L.                                                                                                                                                                                                                                       ,[3-6],3,6,80
96,GOMPHOCARPUS FRUTICOSUS (L.) R. BR.                                                                                                                                                                                                                       ,[1-4],1,4,81
97,VINCETOXICUM NIGRUM MOENCH                                                                                                                                                                                                                                ,[1-3],1,3,82
98,VINCETOXICUM OFFICINALE MOENCH                                                                                                                                                                                                                            ,[1-6],1,6,83
98,VINCETOXICUM OFFICINALE MOENCH                                                                                                                                                                                                                            ,[2-6],2,6,84
100,IMPATIENS BALFOURI HOOK F.                                                                                                                                                                                                                                ,[1-5],1,5,85
105,IMPATIENS NOLI-TANGERE L.                                                                                                                                                                                                                                 ,[1-6],1,6,86
105,IMPATIENS NOLI-TANGERE L.                                                                                                                                                                                                                                 ,[3-6],3,6,87
105,IMPATIENS NOLI-TANGERE L.                                                                                                                                                                                                                                 ,[4-6],4,6,88
106,IMPATIENS PARVIFLORA DC.                                                                                                                                                                                                                                  ,[1-6],1,6,89
106,IMPATIENS PARVIFLORA DC.                                                                                                                                                                                                                                  ,[2-6],2,6,90
106,IMPATIENS PARVIFLORA DC.                                                                                                                                                                                                                                  ,[3-6],3,6,91
107,IMPATIENS ROYLEI WALPERS                                                                                                                                                                                                                                  ,[1-6],1,6,92
107,IMPATIENS ROYLEI WALPERS                                                                                                                                                                                                                                  ,[3-6],3,6,93
107,IMPATIENS ROYLEI WALPERS                                                                                                                                                                                                                                  ,[4-6],4,6,94
112,BERBERIS AQUIFOLIA (NUTT.) PURSH.                                                                                                                                                                                                                         ,[1-3],1,3,95
113,BERBERIS VULGARIS L.                                                                                                                                                                                                                                      ,[1-5],1,5,96
113,BERBERIS VULGARIS L.                                                                                                                                                                                                                                      ,[2-5],2,5,97
114,BERBERIS VULGARIS L. VAR. AETNENSIS ROEM. & S.                                                                                                                                                                                                            ,[1-6],1,6,98
114,BERBERIS VULGARIS L. VAR. AETNENSIS ROEM. & S.                                                                                                                                                                                                            ,[2-6],2,6,99
118,ALNUS CORDATA (LOIS.) DESF.                                                                                                                                                                                                                               ,[1-5],1,5,100
119,ALNUS GLUTINOSA (L.) GAERTNER                                                                                                                                                                                                                             ,[1-6],1,6,101
119,ALNUS GLUTINOSA (L.) GAERTNER                                                                                                                                                                                                                             ,[5-6],5,6,102
120,ALNUS INCANA (L.) MOENCH                                                                                                                                                                                                                                  ,[1-6],1,6,103
120,ALNUS INCANA (L.) MOENCH                                                                                                                                                                                                                                  ,[5-6],5,6,104
121,ALNUS VIRIDIS (CHAIX) DC.                                                                                                                                                                                                                                 ,[1-6],1,6,105
121,ALNUS VIRIDIS (CHAIX) DC.                                                                                                                                                                                                                                 ,[5-6],5,6,106
122,ALNUS VIRIDIS (CHAIX) DC. VAR. SUAVEOLENS REQ.                                                                                                                                                                                                            ,[1-6],1,6,107
122,ALNUS VIRIDIS (CHAIX) DC. VAR. SUAVEOLENS REQ.                                                                                                                                                                                                            ,[5-6],5,6,108
123,ALNUS VIRIDIS (CHAIX) DC. VAR. VIRIDIS                                                                                                                                                                                                                    ,[1-6],1,6,109
124,BETULA NANA L.                                                                                                                                                                                                                                            ,[1-5],1,5,110
124,BETULA NANA L.                                                                                                                                                                                                                                            ,[3-5],3,5,111
125,BETULA PUBESCENS EHRH.                                                                                                                                                                                                                                    ,[1-6],1,6,112
125,BETULA PUBESCENS EHRH.                                                                                                                                                                                                                                    ,[3-6],3,6,113
125,BETULA PUBESCENS EHRH.                                                                                                                                                                                                                                    ,[4-6],4,6,114
126,BETULA PUBESCENS EHRH. VAR. CARPATICA WALDST. & K.                                                                                                                                                                                                        ,[1-5],1,5,115
128,BETULA PUBESCENS EHRH. VAR. PUBESCENS                                                                                                                                                                                                                     ,[1-6],1,6,116
128,BETULA PUBESCENS EHRH. VAR. PUBESCENS                                                                                                                                                                                                                     ,[2-6],2,6,117
128,BETULA PUBESCENS EHRH. VAR. PUBESCENS                                                                                                                                                                                                                     ,[3-6],3,6,118
128,BETULA PUBESCENS EHRH. VAR. PUBESCENS                                                                                                                                                                                                                     ,[4-6],4,6,119
129,BETULA VERRUCOSA EHRH.                                                                                                                                                                                                                                    ,[1-6],1,6,120
129,BETULA VERRUCOSA EHRH.                                                                                                                                                                                                                                    ,[2-6],2,6,121
129,BETULA VERRUCOSA EHRH.                                                                                                                                                                                                                                    ,[3-6],3,6,122
138,ALKANNA TINCTORIA (L.) TAUSCH.                                                                                                                                                                                                                            ,[1-4],1,4,123
138,ALKANNA TINCTORIA (L.) TAUSCH.                                                                                                                                                                                                                            ,[2-4],2,4,124
143,ANCHUSA AZUREA MILL.                                                                                                                                                                                                                                      ,[1-2],1,2,125
145,ANCHUSA CRISPA VIV.                                                                                                                                                                                                                                       ,[1-4],1,4,126
145,ANCHUSA CRISPA VIV.                                                                                                                                                                                                                                       ,[2-4],2,4,127
147,ANCHUSA OFFICINALIS L.                                                                                                                                                                                                                                    ,[1-4],1,4,128
152,ASPERUGO PROCUMBENS L.                                                                                                                                                                                                                                    ,[1-6],1,6,129
152,ASPERUGO PROCUMBENS L.                                                                                                                                                                                                                                    ,[2-6],2,6,130
153,BORRAGO LAXIFLORA WILLD.                                                                                                                                                                                                                                  ,[1-3],1,3,131
154,BORRAGO OFFICINALIS L.                                                                                                                                                                                                                                    ,[1-4],1,4,132
155,CERINTHE GLABRA MILLER                                                                                                                                                                                                                                    ,[1-3],1,3,133
156,CERINTHE GLABRA MILLER VAR. GLABRA                                                                                                                                                                                                                        ,[1-3],1,3,134
161,CERINTHE MINOR L.                                                                                                                                                                                                                                         ,[1-5],1,5,135
164,CYNOGLOSSUM CHEIRIFOLIUM L.                                                                                                                                                                                                                               ,[1-1],1,1,136
165,CYNOGLOSSUM CRETICUM MILLER                                                                                                                                                                                                                               ,[1-3],1,3,137
